Property name,No. BRs,No. Beds,No. Baths,No. Guests allowed,Nightly Rate,Cleaning Fee,Rating,No. Reviews,Superhost Status (1 / 0),Amenities,Pets (1 / 0),Property Type,Location,Location Rating,Price_per_Guest,Link,Season
Sample Property 5426,4,4,4.0,10,415.32,207.66,4.19,99,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Tumalo State Park, Bend, OR",5.0,41.53,https://www.airbnb.com/rooms/sample_62956,Peak
Sample Property 3558,2,2,2.0,5,225.5,124.38,3.71,187,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire townhouse,"Seventh Mountain, Bend, OR",4.4,45.1,https://www.airbnb.com/rooms/sample_66804,Peak
Sample Property 9792,1,3,1.0,4,174.13,89.7,4.95,241,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Southwest Bend, Bend, OR",4.2,43.53,https://www.airbnb.com/rooms/sample_23484,Peak
Sample Property 8555,4,4,3.0,10,171.14,205.91,3.97,53,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Summit West, Bend, OR",5.0,17.11,https://www.airbnb.com/rooms/sample_72410,Off-Peak
Sample Property 8629,4,5,3.0,9,176.86,221.89,3.79,189,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Room,"Larkspur, Bend, OR",4.3,19.65,https://www.airbnb.com/rooms/sample_9269,Off-Peak
Sample Property 6892,2,2,1.0,4,241.64,138.88,4.89,40,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire cabin,"Old Bend, Bend, OR",4.3,60.41,https://www.airbnb.com/rooms/sample_89136,Peak
Sample Property 4840,5,7,4.0,11,331.74,249.24,4.58,254,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire home,"Summit West, Bend, OR",4.7,30.16,https://www.airbnb.com/rooms/sample_87898,Shoulder
Sample Property 2757,2,2,2.0,6,261.84,110.12,3.71,230,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Room,"Southwest Bend, Bend, OR",4.2,43.64,https://www.airbnb.com/rooms/sample_62624,Peak
Sample Property 4627,3,5,2.0,7,297.79,166.84,4.12,127,1,"WiFi, Parking, TV, Kitchen, Washer, Dryer",1,Entire home,"Sunriver, OR",4.3,42.54,https://www.airbnb.com/rooms/sample_23777,Peak
Sample Property 4748,1,1,1.0,3,126.9,93.46,4.54,233,0,"WiFi, Parking, TV, Kitchen, Washer, Dryer",0,Entire townhouse,"Old Bend, Bend, OR",4.3,42.3,https://www.airbnb.com/rooms/sample_95840,Peak
